,ID,title,date,url
0,d-5237944,Polda DIY Ungkap Kasus Psikotropika di Yogya Meningkat Saat Pandemi, 02 Nov 2020 13:48 WIB,https://news.detik.com/berita-jawa-tengah/d-5237944/polda-diy-ungkap-kasus-psikotropika-di-yogya-meningkat-saat-pandemi?single=1
1,d-5237846,Pasangan Suami Istri Pencetak Uang Palsu di Boyolali Ditangkap, 02 Nov 2020 12:52 WIB,https://news.detik.com/berita-jawa-tengah/d-5237846/pasangan-suami-istri-pencetak-uang-palsu-di-boyolali-ditangkap?single=1
2,d-5230819,"Alarm Berbunyi, 2 Pria Ini Gagal Curi Motor di Mampang Jaksel", 27 Okt 2020 16:17 WIB,https://news.detik.com/berita/d-5230819/alarm-berbunyi-2-pria-ini-gagal-curi-motor-di-mampang-jaksel?single=1
3,d-5230565,Pembunuh Wanita di Kamar Hotel Sempat Berhubungan Badan dengan Korban, 27 Okt 2020 14:31 WIB,https://news.detik.com/berita-jawa-tengah/d-5230565/pembunuh-wanita-di-kamar-hotel-sempat-berhubungan-badan-dengan-korban?single=1
4,d-5199177,Polisi: Rafi Disandera agar Tunjukkan Teman yang Utang Sewa Apartemen, 04 Okt 2020 11:38 WIB,https://news.detik.com/berita/d-5199177/polisi-rafi-disandera-agar-tunjukkan-teman-yang-utang-sewa-apartemen?single=1
5,d-5194700,"Gasak Barang di Gudang Senilai Rp 583 Juta, 5 Karyawan Diciduk Polisi", 30 Sep 2020 18:28 WIB,https://news.detik.com/berita-jawa-tengah/d-5194700/gasak-barang-di-gudang-senilai-rp-583-juta-5-karyawan-diciduk-polisi?single=1
6,d-5193813,"Kabur saat Ditangkap, Begal Motor-Emas di 35 TKP Makassar Ditembak", 30 Sep 2020 11:03 WIB,https://news.detik.com/berita/d-5193813/kabur-saat-ditangkap-begal-motor-emas-di-35-tkp-makassar-ditembak?single=1
7,d-5192785,Aksi Komplotan Maling Gasak Rp 600 Juta di Kudus Terekam CCTV!, 29 Sep 2020 15:43 WIB,https://news.detik.com/berita-jawa-tengah/d-5192785/aksi-komplotan-maling-gasak-rp-600-juta-di-kudus-terekam-cctv?single=1
8,d-5192276,"Viral Pemotor Jadi Korban Pelecehan di Cipondoh, Begini Kejadiannya", 29 Sep 2020 10:29 WIB,https://news.detik.com/berita/d-5192276/viral-pemotor-jadi-korban-pelecehan-di-cipondoh-begini-kejadiannya?single=1
9,d-5188575,Jahat! Paman Setubuhi dan Ancam Keponakan Sendiri, 25 Sep 2020 19:52 WIB,https://news.detik.com/berita-jawa-tengah/d-5188575/jahat-paman-setubuhi-dan-ancam-keponakan-sendiri?single=1
10,d-5184801,"Ancam Viralkan Foto Tak Senonoh, Pria Ini Cabuli 3 Anak di Bawah Umur", 23 Sep 2020 14:31 WIB,https://news.detik.com/berita-jawa-tengah/d-5184801/ancam-viralkan-foto-tak-senonoh-pria-ini-cabuli-3-anak-di-bawah-umur?single=1
11,d-5184417,"Cantik-cantik Kriminal, Selebgram Dipenjara karena Kasus Narkoba & Pencurian", 23 Sep 2020 10:47 WIB,https://wolipop.detik.com/entertainment-news/d-5184417/cantik-cantik-kriminal-selebgram-dipenjara-karena-kasus-narkoba--pencurian?single=1
12,d-5181215,Cerita Ngeri Laeli dan Fajri Tidur Bareng Jenazah Rinaldi, 21 Sep 2020 08:05 WIB,https://news.detik.com/berita/d-5181215/cerita-ngeri-laeli-dan-fajri-tidur-bareng-jenazah-rinaldi?single=1
13,d-5179458,"Tanpa Helm dan Masker, Pengendara Bawa Parang di Makassar Ditangkap", 19 Sep 2020 10:08 WIB,https://news.detik.com/berita/d-5179458/tanpa-helm-dan-masker-pengendara-bawa-parang-di-makassar-ditangkap?single=1
14,d-5179358,Cerita Ngeri Pemutilasi Bawa Potongan Tubuh Korban Naik Taksi, 19 Sep 2020 07:30 WIB,https://news.detik.com/berita/d-5179358/cerita-ngeri-pemutilasi-bawa-potongan-tubuh-korban-naik-taksi?single=1
