,ID,title,date,url
0,d-5094174,Kriminalitas Bisa Merajalela Kalau RI Sampai Masuk Jurang Resesi, 15 Jul 2020 11:56 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-5094174/kriminalitas-bisa-merajalela-kalau-ri-sampai-masuk-jurang-resesi?single=1
1,d-5075599,"Semester Pertama, Angka Kriminalitas di Banten Turun 30 Persen", 01 Jul 2020 14:49 WIB,https://news.detik.com/berita-jawa-barat/d-5075599/semester-pertama-angka-kriminalitas-di-banten-turun-30-persen?single=1
2,d-5060045,Kapolda Metro: Kasus Curas hingga Curanmor Naik 6% Selama Pandemi Corona, 19 Jun 2020 13:25 WIB,https://news.detik.com/berita/d-5060045/kapolda-metro-kasus-curas-hingga-curanmor-naik-6-selama-pandemi-corona?single=1
3,d-5056415,"Angka Kriminalitas Naik 38,45% di Masa New Normal", 16 Jun 2020 22:17 WIB,https://news.detik.com/detiktv/d-5056415/angka-kriminalitas-naik-3845-di-masa-new-normal?single=1
4,d-5022416,Kriminalitas pada Masa Pandemi, 20 Mei 2020 15:25 WIB,https://news.detik.com/kolom/d-5022416/kriminalitas-pada-masa-pandemi?single=1
5,d-5000129,"Karyawati Melawan, Pelaku Jambret di Atas Angkot di Bekasi Ditangkap", 02 Mei 2020 23:40 WIB,https://news.detik.com/berita/d-5000129/karyawati-melawan-pelaku-jambret-di-atas-angkot-di-bekasi-ditangkap?single=1
6,d-4994527,Polda Banten Klaim Kriminalitas Turun Selama Pandemi Corona, 28 Apr 2020 15:42 WIB,https://news.detik.com/berita-jawa-barat/d-4994527/polda-banten-klaim-kriminalitas-turun-selama-pandemi-corona?single=1
7,d-4993801,Jurus Polisi Jakarta Atasi Kejahatan Selama Pandemi Corona, 28 Apr 2020 07:47 WIB,https://news.detik.com/berita/d-4993801/jurus-polisi-jakarta-atasi-kejahatan-selama-pandemi-corona?single=1
8,d-4993756,Tragis PSK di Depok Diajak Kencan Lalu Dirampok, 28 Apr 2020 06:34 WIB,https://news.detik.com/berita/d-4993756/tragis-psk-di-depok-diajak-kencan-lalu-dirampok?single=1
9,d-4989506,Bukan CCTV Biasa! Pakai Ini Bisa Usir Pencuri Masuk Rumah, 24 Apr 2020 12:17 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-4989506/bukan-cctv-biasa-pakai-ini-bisa-usir-pencuri-masuk-rumah?single=1
10,d-4985962,"Jejak Begal Cakung, dari Tawuran hingga Aksi Perampasan", 22 Apr 2020 05:45 WIB,https://news.detik.com/berita/d-4985962/jejak-begal-cakung-dari-tawuran-hingga-aksi-perampasan?single=1
11,d-4984615,"Kejar-kejaran Bak Film Action, Begal di Cakung Dilumpuhkan", 21 Apr 2020 04:58 WIB,https://news.detik.com/berita/d-4984615/kejar-kejaran-bak-film-action-begal-di-cakung-dilumpuhkan?single=1
12,d-4983946,Polda Metro Sebut Tren Perampokan Minimarket-Hoax Meningkat Saat PSBB, 20 Apr 2020 16:07 WIB,https://news.detik.com/berita/d-4983946/polda-metro-sebut-tren-perampokan-minimarket-hoax-meningkat-saat-psbb?single=1
13,d-4983193,Antisipasi Kejahatan saat Pandemi: Pukul Kentungan hingga Patroli Malam, 20 Apr 2020 06:28 WIB,https://news.detik.com/berita/d-4983193/antisipasi-kejahatan-saat-pandemi-pukul-kentungan-hingga-patroli-malam?single=1
14,d-4980377,Buron Spesialis Pencurian Sembako di Tangerang Ditembak Mati Polisi, 17 Apr 2020 09:50 WIB,https://news.detik.com/berita/d-4980377/buron-spesialis-pencurian-sembako-di-tangerang-ditembak-mati-polisi?single=1
